Code,Name,Close,Changes,ChagesRatio,Volume,Marcap,ROA,PER
008040,사조동아원,934,1,0.11,144806,131829056400,3.7,4.69
347890,엠투아이,7840,250,3.29,58291,131697919360,8.7,20.64
003650,미창석유,75700,500,0.66,984,131693170400,12.2,2.82
159580,제로투세븐,6570,420,6.83,4229240,131614418520,5.2,28.39
215360,우리산업,14410,-360,-2.44,55658,131594468830,6.1,-31.99
013990,아가방컴퍼니,4000,125,3.23,1359624,131550144000,4.9,9.43
317870,엔바이오니아,15760,-310,-1.93,14475,131506057680,-11.5,-42.31
006370,대구백화점,12120,-80,-0.66,21244,131157925320,-5.5,-4.92
003547,대신증권2우B,13110,10,0.08,11199,131100000000,,14.61
317240,TS트릴리온,1388,91,7.02,2154594,131093303500,-4.3,-56.16
013580,계룡건설,14670,140,0.96,19460,131016405690,2.0,2.61
019550,SBI인베스트먼트,808,21,2.67,1512422,130949792600,12.9,-48.56
160550,NEW,4690,70,1.52,66042,130879637140,-6.8,-9.2
039340,한국경제TV,5690,170,3.08,50316,130870000000,6.7,11.88
041590,플래스크,995,9,0.91,342867,130862200005,-20.9,-4.17
337930,브랜드엑스코퍼레이션,4465,-50,-1.11,43290,130675319885,11.3,10.87
065660,안트로젠,13420,-80,-0.59,8378,130595025660,-2.5,-42.38
408920,메쎄이상,3020,110,3.78,511849,130562014100,5.2,20.94
053700,삼보모터스,5740,-20,-0.35,106603,130540205040,2.7,6.71
057680,티사이언티픽,1899,97,5.38,1600237,130451379624,-6.4,-14.33
016880,웅진,1632,-38,-2.28,3517642,130440994560,0.1,10.99
124560,태웅로직스,3385,10,0.3,73052,130040136840,5.9,6.1
241840,에이스토리,13630,110,0.81,24929,130030118220,5.2,1166.16
054050,농우바이오,8100,-10,-0.12,12933,129847544100,4.3,13.19
365270,큐라클,9370,60,0.64,26233,129824554540,-7.4,-13.2
207760,미스터블루,1736,-4,-0.23,363725,129808309792,6.7,55.54
052790,액토즈소프트,11450,290,2.6,67959,129735805100,2.5,22.55
000180,성창기업지주,1859,0,0.0,33505,129668224400,-2.7,-7.76
041920,메디아나,8090,-640,-7.33,5027892,129440000000,12.2,7.82
357580,아모센스,11520,230,2.04,45785,129257441280,1.0,-477.99
330350,위더스제약,9770,-300,-2.98,295687,128893441060,3.4,58.66
123420,위메이드플레이,11230,-290,-2.52,215345,128806325660,2.2,9.56
044990,에이치엔에스하이텍,17140,0,0.0,53,128739636960,,
036120,SCI평가정보,3625,5,0.14,84257,128687500000,8.6,-626.23
236810,엔비티,7580,1570,26.12,7956092,128673729080,-2.2,-47.62
065680,우주일렉트로,13500,0,0.0,14904,128655000000,1.1,49.58
017550,수산중공업,2055,-35,-1.67,134169,128230212150,7.9,8.0
120030,조선선재,101900,600,0.59,527,128154636900,9.4,12.24
222040,코스맥스엔비티,6210,60,0.98,48968,128099880000,-2.7,-6.82
054670,대한뉴팜,8920,-110,-1.22,65929,128045886400,12.0,6.53
004310,현대약품,4000,-20,-0.5,49181,128000000000,5.1,365.33
300080,플리토,24450,150,0.62,43554,127921079700,-28.9,-25.95
107640,한중엔시에스,17950,350,1.99,185,127770128350,,
010040,한국내화,3105,-5,-0.16,222686,127513227510,1.5,307.51
064820,케이프,4125,10,0.24,9687,127469628000,1.4,11.81
361390,제노코,16990,-20,-0.12,24350,127438405110,2.4,75.86
058630,엠게임,6510,-10,-0.15,81308,127230639270,14.8,5.46
089850,유비벨록스,17060,-60,-0.35,40094,127211882040,8.8,11.59
003460,유화증권,2240,10,0.45,4464,127013409600,0.1,-1673.55
163730,핑거,13590,-50,-0.37,2595136,126947872890,6.0,42.03
004100,태양금속,3450,-35,-1.0,1808393,126615000000,2.4,36.25
023800,인지컨트롤스,8000,-10,-0.12,43553,126473576000,3.3,8.46
024090,디씨엠,11050,80,0.73,1396,125970000000,-4.2,28.68
382480,지아이텍,3200,15,0.47,83702,125942848000,6.7,30.12
403490,우듬지팜,2795,60,2.19,43912304,125563876880,,
027830,대성창투,2325,-5,-0.21,399848,125550000000,-2.7,-37.66
041930,동아화성,7940,120,1.53,94797,125452000000,5.6,18.42
024060,흥구석유,8350,-380,-4.35,418506,125250000000,0.7,81.06
086670,비엠티,13720,170,1.25,18737,125197387280,9.5,8.93
038880,아이에이,423,-2,-0.47,357127,124687350450,-2.6,-15.12
140070,서플러스글로벌,3370,-50,-1.46,39881,124649560000,2.1,9.26
248170,샘표식품,27250,0,0.0,9373,124485793500,4.0,15.3
377030,맥스트,6360,-260,-3.93,84128,124470809520,-20.1,-7.59
052420,오성첨단소재,1526,28,1.87,605843,124338293828,2.8,-21.14
111710,남화산업,6030,-50,-0.82,9141,124145640000,8.5,7.62
234920,자이글,9140,590,6.9,246776,123672517400,-17.3,-29.76
100700,세운메디칼,2815,15,0.54,43165,123297000000,11.5,9.57
019440,세아특수강,14380,-20,-0.14,5696,123236600000,0.6,15.34
126880,제이엔케이히터,5310,-70,-1.3,39726,123218034930,3.6,15.63
065450,빅텍,4290,-25,-0.58,2640955,122920512000,-5.4,-23.35
025820,이구산업,3670,-30,-0.81,209358,122732140000,-0.3,54.19
033310,엠투엔,3040,-35,-1.14,34515,122640382240,2.5,9.77
014160,대영포장,1131,10,0.89,101949,122594234919,4.6,10.51
219130,타이거일렉,19400,-60,-0.31,10665,122497226000,-3.0,-39.89
036710,심텍홀딩스,2530,-25,-0.98,61060,122325866850,-11.3,-1.54
251120,바이오에프디엔씨,14040,-320,-2.23,18107,122087628000,7.2,24.87
408900,스튜디오미르,22750,-400,-1.73,14448,121952512500,6.0,
061040,알에프텍,3800,-55,-1.43,36401,121939184200,2.3,-43.84
263600,덕우전자,7650,60,0.79,44379,121866871500,-3.7,21.62
074430,아미노로직스,1385,-70,-4.81,688619,121640178940,1.9,-8.38
162300,신스틸,2930,-15,-0.51,60988,121511149260,6.3,
099750,이지케어텍,17760,-130,-0.73,16588,121385621760,-0.8,-13.64
023000,삼원강재,3030,10,0.33,8928,121200000000,4.9,9.04
171120,라이온켐텍,3375,35,1.05,21328,121168440000,7.2,
